"region","cohort","median","iqr","mean","sd"
"australia_new zealand","1950",0.916492997932024,0.00159132004390716,0.916492997932024,0.00225046638816958
"australia_new zealand","1951",0.918822716671495,0.00155240136233903,0.918822716671495,0.00219542706086656
"australia_new zealand","1952",0.919449457981207,0.00329049891017053,0.919449457981207,0.00465346818573704
"australia_new zealand","1953",0.920177356285117,0.00142770838162354,0.920177356285117,0.00201908455640567
"australia_new zealand","1954",0.92274073747063,0.00138253243642206,0.92274073747063,0.00195519612200879
"australia_new zealand","1955",0.925304869909902,0.0013405383476971,0.925304869909902,0.00189580751219453
"australia_new zealand","1956",0.9278543873375,0.00130123659121151,0.9278543873375,0.00184022643514745
"australia_new zealand","1957",0.928681802888233,0.00291386876204858,0.928681802888233,0.00412083272226432
"australia_new zealand","1958",0.93107454194319,0.00282495134090954,0.93107454194319,0.00399508449935802
"australia_new zealand","1959",0.931723455823127,0.00114056856858935,0.931723455823127,0.00161300753851545
"australia_new zealand","1960",0.933869024694757,0.0011048238050283,0.933869024694757,0.00156245680910359
"australia_new zealand","1961",0.935867870208983,0.00107570816391589,0.935867870208983,0.00152128107456515
"australia_new zealand","1962",0.937743376962212,0.00106052304707238,0.937743376962212,0.00149980607637908
"australia_new zealand","1963",0.938051975998428,0.00255846624796219,0.938051975998428,0.00361821766674193
"australia_new zealand","1964",0.939821839960632,0.00254542850484252,0.939821839960632,0.00359977951359928
"australia_new zealand","1965",0.940069125247492,0.00109801664083031,0.940069125247492,0.00155283002517365
"australia_new zealand","1966",0.941741591419365,0.00116131313296475,0.941741591419365,0.00164234478280081
"australia_new zealand","1967",0.94334729155715,0.00123184655349418,0.94334729155715,0.00174209410271402
"australia_new zealand","1968",0.944910423440566,0.00128753618552968,0.944910423440566,0.00182085113562227
"australia_new zealand","1969",0.945032610092764,0.00272267853749875,0.945032610092764,0.00385044891371303
"australia_new zealand","1970",0.946524439597378,0.00272117808125749,0.946524439597378,0.00384832694814666
"australia_new zealand","1971",0.94663863761236,0.00139899099101193,0.94663863761236,0.00197847203312685
"australia_new zealand","1972",0.948024571649896,0.00142070843499564,0.948024571649896,0.00200918513694861
"australia_new zealand","1973",0.94935289099305,0.00144441382671401,0.94935289099305,0.00204270962341802
"australia_new zealand","1974",0.949295189712457,0.00279750264788936,0.949295189712457,0.0039562661854197
"australia_new zealand","1975",0.950545107044176,0.002786915802102,0.950545107044176,0.00394129412452462
"australia_new zealand","1976",0.950522497861914,0.00154618770403092,0.950522497861914,0.00218663962101512
"australia_new zealand","1977",0.951716664078462,0.00155214170362572,0.951716664078462,0.00219505984799222
"australia_new zealand","1978",0.952855469952829,0.00155548369744118,0.952855469952829,0.00219978614097173
"australia_new zealand","1979",0.95394151921155,0.00155879346054422,0.95394151921155,0.00220446685284004
"australia_new zealand","1980",0.954979235864833,0.00156477483577755,0.954979235864833,0.00221292579481682
"australia_new zealand","1981",0.95475727400485,0.0027931774705291,0.95475727400485,0.00395014946093714
"australia_new zealand","1982",0.955738096482397,0.00279158493135123,0.955738096482397,0.00394789727043328
"australia_new zealand","1983",0.955582315538415,0.00170590212136501,0.955582315538415,0.00241250991611543
"australia_new zealand","1984",0.956515003465635,0.00175706460986069,0.956515003465635,0.00248486460123086
"australia_new zealand","1985",0.957416353709981,0.00181902312993598,0.957416353709981,0.00257248718062598
"australia_new zealand","1986",0.95829256826279,0.0018888374742505,0.95829256826279,0.00267121957320368
"australia_new zealand","1987",0.95799018597446,0.00312239908153911,0.95799018597446,0.00441573912825382
"australia_new zealand","1988",0.958874746262992,0.0031650132503751,0.958874746262992,0.00447600466377102
"australia_new zealand","1989",0.958764380251803,0.00218020755181481,0.958764380251803,0.00308327908856466
"australia_new zealand","1990",0.959713682295421,0.00221803788347696,0.959713682295421,0.00313677925667044
"australia_new zealand","1991",0.960685048321364,0.00223727146405772,0.960685048321364,0.0031639796471809
"australia_new zealand","1992",0.96168006867905,0.00223686326588157,0.96168006867905,0.00316340236778405
"australia_new zealand","1993",0.962676107457534,0.00222367022481473,0.962676107457534,0.00314474459017799
"australia_new zealand","1994",0.962597579419759,0.0032552856446626,0.962597579419759,0.00460366910808029
"australia_new zealand","1995",0.963572432213381,0.00320144773830022,0.963572432213381,0.004527530810733
"australia_new zealand","1996",0.963639541378701,0.00227049781336586,0.963639541378701,0.00321096880100045
"australia_new zealand","1997",0.964570732602174,0.00224009761854227,0.964570732602174,0.00316797643318223
"australia_new zealand","1998",0.965467897158671,0.00220919754124671,0.965467897158671,0.00312427712479247
"australia_new zealand","1999",0.966346668525867,0.00218032521469957,0.966346668525867,0.00308344548901225
"central and southern asia","1950",0.799483124564548,0.0705618727031265,0.796783605431964,0.0471510015280227
"central and southern asia","1951",0.80166205107176,0.0705139708537934,0.800283613353117,0.0464776628721988
"central and southern asia","1952",0.804813922578514,0.0762524084282021,0.80382105029642,0.046310445104747
"central and southern asia","1953",0.807665651081711,0.0795258032117021,0.807616330722174,0.0458199442299542
"central and southern asia","1954",0.814151793272826,0.0739565484058838,0.811129902749209,0.0449485945140371
"central and southern asia","1955",0.819724397098299,0.0747830074479869,0.814941536058443,0.0443157610494099
"central and southern asia","1956",0.825738253997138,0.0733497159604264,0.818757328101158,0.0438302372832011
"central and southern asia","1957",0.828558822569176,0.0675442980010744,0.822165670442114,0.0424140794475316
"central and southern asia","1958",0.831668226407359,0.0661342891254983,0.826066035379857,0.042004910583643
"central and southern asia","1959",0.834688199293349,0.0629842754756786,0.829991132774488,0.0407494193717175
"central and southern asia","1960",0.835571235498174,0.0614783777753076,0.833632784975348,0.0400496076494554
"central and southern asia","1961",0.838445596997202,0.0608506832203206,0.837613163449851,0.0395928114208449
"central and southern asia","1962",0.840555728185298,0.0558061391548417,0.840963232543389,0.0381725542596119
"central and southern asia","1963",0.841869382805421,0.0529551165276674,0.844414288203978,0.0377332490020028
"central and southern asia","1964",0.843900256606516,0.049629040120473,0.848008780691239,0.0367282937423973
"central and southern asia","1965",0.846669157293021,0.0459446602688982,0.851879541556143,0.0358228769271466
"central and southern asia","1966",0.848687903228367,0.0414806580756248,0.854900688491156,0.0354033807887083
"central and southern asia","1967",0.849966419703366,0.0399809011804352,0.858522415061304,0.0343609709046641
"central and southern asia","1968",0.852065647079673,0.0409565784091355,0.862062100841074,0.0341230165461438
