"variant","country","cohort","age","child_death"
"cm-cf","guatemala","1950",15,0
"cm-cf","guatemala","1950",25,0.424170840676209
"cm-cf","guatemala","1950",35,0.859345436388676
"cm-cf","guatemala","1950",45,1.07694463652096
"cm-cf","guatemala","1950",55,1.21906149552247
"cm-cf","guatemala","1950",65,1.38476992240791
"cm-cf","guatemala","1950",75,1.62512008232081
"cm-cf","guatemala","1950",85,2.04745266944749
"cm-cf","guatemala","1950",95,2.76119806849718
"cm-cf","guatemala","1955",15,0
"cm-cf","guatemala","1955",25,0.355020478248828
"cm-cf","guatemala","1955",35,0.689810765727909
"cm-cf","guatemala","1955",45,0.853453430680467
"cm-cf","guatemala","1955",55,0.980881481881622
"cm-cf","guatemala","1955",65,1.13197352936558
"cm-cf","guatemala","1955",75,1.39315604358311
"cm-cf","guatemala","1955",85,1.80844134240253
"cm-cf","guatemala","1955",95,2.51174333382799
"cm-cf","guatemala","1960",15,0
"cm-cf","guatemala","1960",25,0.286355522320962
"cm-cf","guatemala","1960",35,0.532766994160903
"cm-cf","guatemala","1960",45,0.658416453170538
"cm-cf","guatemala","1960",55,0.769772035699671
"cm-cf","guatemala","1960",65,0.931273200723947
"cm-cf","guatemala","1960",75,1.18482087605721
"cm-cf","guatemala","1960",85,1.58728652247966
"cm-cf","guatemala","1960",95,2.26933018521966
"cm-cf","guatemala","1965",15,0
"cm-cf","guatemala","1965",25,0.219908791014009
"cm-cf","guatemala","1965",35,0.398842569637574
"cm-cf","guatemala","1965",45,0.497906065739468
"cm-cf","guatemala","1965",55,0.595599976908154
"cm-cf","guatemala","1965",65,0.765393370018195
"cm-cf","guatemala","1965",75,1.00589109980912
"cm-cf","guatemala","1965",85,1.38936011292801
"cm-cf","guatemala","1965",95,2.04007259361223
"cm-cf","guatemala","1970",15,0
"cm-cf","guatemala","1970",25,0.165938487627625
"cm-cf","guatemala","1970",35,0.295635319743011
"cm-cf","guatemala","1970",45,0.373540736132803
"cm-cf","guatemala","1970",55,0.47510384234502
"cm-cf","guatemala","1970",65,0.635404534938913
"cm-cf","guatemala","1970",75,0.861280001781374
"cm-cf","guatemala","1970",85,1.22291934055434
"cm-cf","guatemala","1970",95,1.83700358371444
"cm-cf","guatemala","1975",15,0
"cm-cf","guatemala","1975",25,0.124639373994113
"cm-cf","guatemala","1975",35,0.218780357354776
"cm-cf","guatemala","1975",45,0.282727267985227
"cm-cf","guatemala","1975",55,0.391732283665968
"cm-cf","guatemala","1975",65,0.540669754685906
"cm-cf","guatemala","1975",75,0.751945056443642
"cm-cf","guatemala","1975",85,1.09159815494373
"cm-cf","guatemala","1975",95,1.66750775020719
"cm-cf","guatemala","1980",15,0
"cm-cf","guatemala","1980",25,0.0912733953316417
"cm-cf","guatemala","1980",35,0.159286217718539
"cm-cf","guatemala","1980",45,0.230622829086201
"cm-cf","guatemala","1980",55,0.33291187042919
"cm-cf","guatemala","1980",65,0.469669574991532
"cm-cf","guatemala","1980",75,0.665366464035927
"cm-cf","guatemala","1980",85,0.97916323576625
"cm-cf","guatemala","1980",95,1.50913038984306
"cm-cf","guatemala","1985",15,0
"cm-cf","guatemala","1985",25,0.0652208461510218
"cm-cf","guatemala","1985",35,0.117478301599472
"cm-cf","guatemala","1985",45,0.206080181844699
"cm-cf","guatemala","1985",55,0.300065241512379
"cm-cf","guatemala","1985",65,0.427567083703658
"cm-cf","guatemala","1985",75,0.610872445874568
"cm-cf","guatemala","1985",85,0.901542673517269
"cm-cf","guatemala","1985",95,1.39043639474145
"cm-cf","guatemala","1990",15,0
"cm-cf","guatemala","1990",25,0.046914280268024
"cm-cf","guatemala","1990",35,0.115044071108655
"cm-cf","guatemala","1990",45,0.204899164781198
"cm-cf","guatemala","1990",55,0.294954587409326
"cm-cf","guatemala","1990",65,0.419707533937481
"cm-cf","guatemala","1990",75,0.598006330073165
"cm-cf","guatemala","1990",85,0.87688002599511
"cm-cf","guatemala","1990",95,1.34561082773702
"cm-cf","guatemala","1995",15,0
"cm-cf","guatemala","1995",25,0.036932868950375
"cm-cf","guatemala","1995",35,0.134289611118945
"cm-cf","guatemala","1995",45,0.224070600161895
"cm-cf","guatemala","1995",55,0.316619939520077
"cm-cf","guatemala","1995",65,0.44610115552493
"cm-cf","guatemala","1995",75,0.629346329082704
"cm-cf","guatemala","1995",85,0.914258571316081
"cm-cf","guatemala","1995",95,1.39468879607232
"cm-cf","guatemala","2000",15,0
"cm-cf","guatemala","2000",25,0.0587199687332691
"cm-cf","guatemala","2000",35,0.162783073570027
"cm-cf","guatemala","2000",45,0.256107883270168
"cm-cf","guatemala","2000",55,0.356156146360362
"cm-cf","guatemala","2000",65,0.495393836154344
"cm-cf","guatemala","2000",75,0.691745940511555
"cm-cf","guatemala","2000",85,0.998854941254946
"cm-cf","guatemala","2000",95,1.51745783014933
"lm-hf","guatemala","1950",15,0
"lm-hf","guatemala","1950",25,0.424170856051267
"lm-hf","guatemala","1950",35,0.859345597551982
"lm-hf","guatemala","1950",45,1.07694614849293
"lm-hf","guatemala","1950",55,1.21908602381059
"lm-hf","guatemala","1950",65,1.38525579190711
"lm-hf","guatemala","1950",75,1.57138092894122
"lm-hf","guatemala","1950",85,1.79331344469907
"lm-hf","guatemala","1950",95,2.11935663881922
"lm-hf","guatemala","1955",15,0
"lm-hf","guatemala","1955",25,0.355020422490847
"lm-hf","guatemala","1955",35,0.689810199757836
"lm-hf","guatemala","1955",45,0.853448105371549
"lm-hf","guatemala","1955",55,0.980791363968579
"lm-hf","guatemala","1955",65,1.12963676595121
"lm-hf","guatemala","1955",75,1.28657681583534
"lm-hf","guatemala","1955",85,1.48248490601323
"lm-hf","guatemala","1955",95,1.77773007958318
"lm-hf","guatemala","1960",15,0
"lm-hf","guatemala","1960",25,0.286355714528064
"lm-hf","guatemala","1960",35,0.532768975156343
"lm-hf","guatemala","1960",45,0.658435379330313
"lm-hf","guatemala","1960",55,0.770098868686789
"lm-hf","guatemala","1960",65,0.896358442794977
"lm-hf","guatemala","1960",75,1.02958883122983
"lm-hf","guatemala","1960",85,1.19983175002698
"lm-hf","guatemala","1960",95,1.46509984015507
"lm-hf","guatemala","1965",15,0
"lm-hf","guatemala","1965",25,0.219908115476353
"lm-hf","guatemala","1965",35,0.39883587577154
"lm-hf","guatemala","1965",45,0.497840117279182
"lm-hf","guatemala","1965",55,0.594069598116546
"lm-hf","guatemala","1965",65,0.69618065609191
"lm-hf","guatemala","1965",75,0.808153211486125
"lm-hf","guatemala","1965",85,0.954289033241089
"lm-hf","guatemala","1965",95,1.1907063345852
"lm-hf","guatemala","1970",15,0
"lm-hf","guatemala","1970",25,0.165940881558048
"lm-hf","guatemala","1970",35,0.295657413531986
"lm-hf","guatemala","1970",45,0.373776538486488
"lm-hf","guatemala","1970",55,0.452181678069467
"lm-hf","guatemala","1970",65,0.535189361020436
"lm-hf","guatemala","1970",75,0.628380847883961
"lm-hf","guatemala","1970",85,0.753396295291737
"lm-hf","guatemala","1970",95,0.961655466286951
"lm-hf","guatemala","1975",15,0
"lm-hf","guatemala","1975",25,0.124631318230885
"lm-hf","guatemala","1975",35,0.218708479556164
"lm-hf","guatemala","1975",45,0.281351400618079
"lm-hf","guatemala","1975",55,0.341928335411563
"lm-hf","guatemala","1975",65,0.40898454235135
"lm-hf","guatemala","1975",75,0.486333573349958
"lm-hf","guatemala","1975",85,0.593307911830836
"lm-hf","guatemala","1975",95,0.774892139047831
"lm-hf","guatemala","1980",15,0
"lm-hf","guatemala","1980",25,0.0912991435020006
"lm-hf","guatemala","1980",35,0.159535795436962
"lm-hf","guatemala","1980",45,0.205896478831086
"lm-hf","guatemala","1980",55,0.252542041651543
"lm-hf","guatemala","1980",65,0.305593454693613
"lm-hf","guatemala","1980",75,0.368693950402217
"lm-hf","guatemala","1980",85,0.45784368004941
"lm-hf","guatemala","1980",95,0.611755260081765
"lm-hf","guatemala","1985",15,0
"lm-hf","guatemala","1985",25,0.0651396152784919
"lm-hf","guatemala","1985",35,0.115633493745627
"lm-hf","guatemala","1985",45,0.148086082996679
"lm-hf","guatemala","1985",55,0.183666960752432
"lm-hf","guatemala","1985",65,0.225521610235374
"lm-hf","guatemala","1985",75,0.276885368323123
"lm-hf","guatemala","1985",85,0.349770979377205
"lm-hf","guatemala","1985",95,0.477248405978915
"lm-hf","guatemala","1990",15,0
"lm-hf","guatemala","1990",25,0.0471941786851351
"lm-hf","guatemala","1990",35,0.082176367477708
"lm-hf","guatemala","1990",45,0.106520502133108
"lm-hf","guatemala","1990",55,0.134087494635263
"lm-hf","guatemala","1990",65,0.167840897991248
"lm-hf","guatemala","1990",75,0.210280748240164
"lm-hf","guatemala","1990",85,0.270451726081846
"lm-hf","guatemala","1990",95,0.375555933994825
"lm-hf","guatemala","1995",15,0
"lm-hf","guatemala","1995",25,0.0347213253802743
"lm-hf","guatemala","1995",35,0.0587014752178156
"lm-hf","guatemala","1995",45,0.0778291896833553
"lm-hf","guatemala","1995",55,0.100205709639582
"lm-hf","guatemala","1995",65,0.128751752529142
"lm-hf","guatemala","1995",75,0.16493451851677
"lm-hf","guatemala","1995",85,0.216323926429797
"lm-hf","guatemala","1995",95,0.305310379832189
"lm-hf","guatemala","2000",15,0
"lm-hf","guatemala","2000",25,0.023251875367655
"lm-hf","guatemala","2000",35,0.0418361205126266
"lm-hf","guatemala","2000",45,0.0573285400784389
"lm-hf","guatemala","2000",55,0.0763063426674366
"lm-hf","guatemala","2000",65,0.101278398124162
