"region","age","cohort","median","iqr"
"australia_new zealand",15,1950,0.00115936925831727,0.0001910401185186
"australia_new zealand",16,1950,0.00290238817919922,0.000440293664746946
"australia_new zealand",17,1950,0.00518721290050448,0.000728601583810331
"australia_new zealand",18,1950,0.00798003711965427,0.00104425707645814
"australia_new zealand",19,1950,0.0112402055005945,0.00137816513570908
"australia_new zealand",20,1950,0.0149169581907399,0.001724889223074
"australia_new zealand",21,1950,0.0185170722826936,0.0020260619443244
"australia_new zealand",22,1950,0.0219815186916888,0.00229510218674494
"australia_new zealand",23,1950,0.0252968701210063,0.00254614057525555
"australia_new zealand",24,1950,0.0284614836325127,0.00279073788352685
"australia_new zealand",25,1950,0.0314858696339778,0.00303666903865553
"australia_new zealand",26,1950,0.0341313865954814,0.00327663201398923
"australia_new zealand",27,1950,0.036483520608707,0.00350271939189463
"australia_new zealand",28,1950,0.0385855848011053,0.00370829065736883
"australia_new zealand",29,1950,0.0404795369379757,0.00389190430355996
"australia_new zealand",30,1950,0.0422063171632356,0.004058049557417
"australia_new zealand",31,1950,0.043840099605884,0.00423065164511354
"australia_new zealand",32,1950,0.0454256331643735,0.00442894016922879
"australia_new zealand",33,1950,0.0469860306443954,0.00466186612384922
"australia_new zealand",34,1950,0.0485360695168974,0.00493360740255139
"australia_new zealand",35,1950,0.0500790257613153,0.00524231314431062
"australia_new zealand",36,1950,0.0516859896579945,0.00558968801372112
"australia_new zealand",37,1950,0.0533348024984723,0.00596205278446564
"australia_new zealand",38,1950,0.0549952267553144,0.0063463998201355
"australia_new zealand",39,1950,0.0566444359212501,0.00673175274445839
"australia_new zealand",40,1950,0.0582704926736287,0.00710826916304177
"australia_new zealand",41,1950,0.059918341021096,0.00747149736074902
"australia_new zealand",42,1950,0.0616023426413185,0.00781298753059263
"australia_new zealand",43,1950,0.0633346233814441,0.00812651143956827
"australia_new zealand",44,1950,0.0651184217439543,0.00840867788201036
"australia_new zealand",45,1950,0.0669454429186967,0.00865906617908105
"australia_new zealand",46,1950,0.0688022197834052,0.00888101340163576
"australia_new zealand",47,1950,0.0706611827703575,0.00908036859077742
"australia_new zealand",48,1950,0.0724990889780806,0.00926318930878095
"australia_new zealand",49,1950,0.0743040473595322,0.00943565216031014
"australia_new zealand",50,1950,0.0760762424155412,0.00960378042936939
"australia_new zealand",51,1950,0.0778277200439004,0.00977295452731028
"australia_new zealand",52,1950,0.0795809829923585,0.00994746395426342
"australia_new zealand",53,1950,0.0813566440375114,0.0101294770597954
"australia_new zealand",54,1950,0.0831707572571399,0.0103193157526553
"australia_new zealand",55,1950,0.0850349503540858,0.0105159146474182
"australia_new zealand",56,1950,0.086956981924749,0.0107173762075631
"australia_new zealand",57,1950,0.088945485673979,0.0109220659397756
"australia_new zealand",58,1950,0.0910110353544421,0.0111296114525378
"australia_new zealand",59,1950,0.0931666847640654,0.0113415966163939
"australia_new zealand",60,1950,0.0954270679506071,0.0115616119287993
"australia_new zealand",61,1950,0.0978070879047259,0.01179486223205
"australia_new zealand",62,1950,0.10032356984119,0.0120476868515564
"australia_new zealand",63,1950,0.102990209495268,0.0123248511249899
"australia_new zealand",64,1950,0.105818018917474,0.0126292719411156
"australia_new zealand",65,1950,0.108816251650302,0.0129622778550342
"australia_new zealand",66,1950,0.111993375434504,0.0133239341439787
"australia_new zealand",67,1950,0.115361983163003,0.0137138956365664
"australia_new zealand",68,1950,0.118934810226219,0.0141317033209787
"australia_new zealand",69,1950,0.122724859667456,0.0145770636422974
"australia_new zealand",70,1950,0.126745463766901,0.01504987365276
"australia_new zealand",71,1950,0.131010049799535,0.015550005202886
"australia_new zealand",72,1950,0.135538930543258,0.0160787822385839
"australia_new zealand",73,1950,0.140351680838899,0.0166371419840316
"australia_new zealand",74,1950,0.14546676513125,0.0172257130839496
"australia_new zealand",75,1950,0.150901527447603,0.0178451861179895
"australia_new zealand",76,1950,0.156672279445864,0.0184968840905522
"australia_new zealand",77,1950,0.162807313079093,0.0191865776626548
"australia_new zealand",78,1950,0.169336324272104,0.0199207876453834
"australia_new zealand",79,1950,0.176290064779312,0.0207061748932749
"australia_new zealand",80,1950,0.183700114451031,0.0215492483311584
"australia_new zealand",81,1950,0.191598820213099,0.0224561349125558
"australia_new zealand",82,1950,0.200041205477772,0.0234366491197832
"australia_new zealand",83,1950,0.209084378439254,0.0245000554714877
"australia_new zealand",84,1950,0.218786057341702,0.0256549030359788
"australia_new zealand",85,1950,0.229203559797052,0.0269088771708005
"australia_new zealand",86,1950,0.240392711944116,0.0282686328758622
"australia_new zealand",87,1950,0.252447168291477,0.0297485632670578
"australia_new zealand",88,1950,0.265463799180314,0.0313628736045733
