"country","mim20kc","mim45kc","mom45kc","mum20kc","mum45kc"
"Angola",335.627325611968,514.983090642448,688.046112860165,426.10510695856,635.478432023429
"Burkina Faso",279.894967367073,434.2588104795,691.890339093363,436.835045145272,634.530051748732
"Burundi",187.613931484185,375.6046817905,583.99627151497,257.842191109678,511.410689263482
"Benin",227.27606369968,373.968689776287,597.594922035366,320.667571509318,520.861591677499
"Botswana",100.382703460104,127.092044166208,228.151326359275,126.951318499652,175.756686419139
"Democratic Republic of the Congo",288.083311558354,439.208118853057,659.838305193486,401.928797380337,590.243814523001
"Central African Republic",263.695083570066,322.7200421546,516.189683232079,373.593144116143,443.37905127863
"Congo",176.335286325,234.538407789796,408.218863605756,238.704825684336,324.053983371449
"Cote D'Ivoire",213.364018627308,336.92735611199,529.739790748795,293.738716692211,451.701345443412
"Cameroon",275.008508361073,385.616025121686,590.572533016013,373.271371294066,513.22921385471
"Eritrea",139.640128264638,288.509168573058,440.617059360764,172.471234204419,376.832085318018
"Ethiopia",175.331581115451,367.585868792373,564.794264387734,241.041712036045,498.608614448462
"Gabon",148.109467922855,256.618401795128,426.281969421875,198.280389465189,342.354132925757
"Ghana",139.193011312204,264.914511701791,461.063844650472,193.47251392577,374.979082021998
"Gambia",176.668657327886,321.651503793055,594.195142840455,266.371022838638,512.40089723699
"Guinea",265.240636764509,456.911653481321,669.460598230285,380.195401199368,613.628566960626
"Equatorial Guinea",244.062852582709,375.609272375927,569.253933290886,329.977296534302,502.206895993422
"Guinea-Bissau",227.833120650868,404.381404337348,604.53161862639,309.354060624724,539.53844855977
"Kenya",154.615243615316,260.023460901911,433.515925300708,206.100757825743,351.836728966904
"Liberia",255.051642388657,464.559486149793,661.347143892033,340.958651835043,609.210920124486
"Lesotho",155.966798501706,155.061227527502,291.277727198032,222.231360902484,218.570587938146
"Madagascar",139.655327379138,308.542410648363,497.272620051,191.274557728849,416.107575370493
"Mali",328.399068909042,487.837276196337,717.390290058999,484.419757571275,672.543726905946
"Malawi",217.841229092768,361.603489666793,537.458344156245,295.099500393212,481.127869872186
"Mozambique",282.94204408519,411.086846872514,598.387135244532,382.422149669412,545.785884702564
"Namibia",105.058557259419,151.736538526863,273.306145754623,139.502065691273,206.195862624497
"Niger",300.102212992443,501.134754115079,768.642166959624,516.251580744105,736.580716406918
"Nigeria",268.633393872753,420.655097532466,642.841802818264,376.179159124159,566.952767342004
"Rwanda",164.956394206124,401.297584032006,613.910678887731,214.820651341656,574.965918603337
