"country","un_sdg_groups","geographic_regions","un_sdg_subregions"
"burundi","sub-saharan africa","africa","eastern africa"
"comoros","sub-saharan africa","africa","eastern africa"
"djibouti","sub-saharan africa","africa","eastern africa"
"eritrea","sub-saharan africa","africa","eastern africa"
"ethiopia","sub-saharan africa","africa","eastern africa"
"kenya","sub-saharan africa","africa","eastern africa"
"madagascar","sub-saharan africa","africa","eastern africa"
"malawi","sub-saharan africa","africa","eastern africa"
"mauritius","sub-saharan africa","africa","eastern africa"
"mayotte","sub-saharan africa","africa","eastern africa"
"mozambique","sub-saharan africa","africa","eastern africa"
"réunion","sub-saharan africa","africa","eastern africa"
"rwanda","sub-saharan africa","africa","eastern africa"
"seychelles","sub-saharan africa","africa","eastern africa"
"somalia","sub-saharan africa","africa","eastern africa"
"south sudan","sub-saharan africa","africa","eastern africa"
"uganda","sub-saharan africa","africa","eastern africa"
"united republic of tanzania","sub-saharan africa","africa","eastern africa"
"zambia","sub-saharan africa","africa","eastern africa"
"zimbabwe","sub-saharan africa","africa","eastern africa"
"angola","sub-saharan africa","africa","middle africa"
"cameroon","sub-saharan africa","africa","middle africa"
"central african republic","sub-saharan africa","africa","middle africa"
"chad","sub-saharan africa","africa","middle africa"
"congo","sub-saharan africa","africa","middle africa"
"democratic republic of the congo","sub-saharan africa","africa","middle africa"
"equatorial guinea","sub-saharan africa","africa","middle africa"
"gabon","sub-saharan africa","africa","middle africa"
"sao tome and principe","sub-saharan africa","africa","middle africa"
"botswana","sub-saharan africa","africa","southern africa"
"eswatini","sub-saharan africa","africa","southern africa"
"lesotho","sub-saharan africa","africa","southern africa"
"namibia","sub-saharan africa","africa","southern africa"
"south africa","sub-saharan africa","africa","southern africa"
"benin","sub-saharan africa","africa","western africa"
"burkina faso","sub-saharan africa","africa","western africa"
"cabo verde","sub-saharan africa","africa","western africa"
"côte d'ivoire","sub-saharan africa","africa","western africa"
"gambia","sub-saharan africa","africa","western africa"
"ghana","sub-saharan africa","africa","western africa"
"guinea","sub-saharan africa","africa","western africa"
"guinea-bissau","sub-saharan africa","africa","western africa"
"liberia","sub-saharan africa","africa","western africa"
"mali","sub-saharan africa","africa","western africa"
"mauritania","sub-saharan africa","africa","western africa"
"niger","sub-saharan africa","africa","western africa"
"nigeria","sub-saharan africa","africa","western africa"
"saint helena","sub-saharan africa","africa","western africa"
"senegal","sub-saharan africa","africa","western africa"
"sierra leone","sub-saharan africa","africa","western africa"
"togo","sub-saharan africa","africa","western africa"
"algeria","northern africa and western asia","africa","northern africa"
"egypt","northern africa and western asia","africa","northern africa"
"libya","northern africa and western asia","africa","northern africa"
"morocco","northern africa and western asia","africa","northern africa"
"sudan","northern africa and western asia","africa","northern africa"
"tunisia","northern africa and western asia","africa","northern africa"
"western sahara","northern africa and western asia","africa","northern africa"
"armenia","northern africa and western asia","asia","western asia"
"azerbaijan","northern africa and western asia","asia","western asia"
"bahrain","northern africa and western asia","asia","western asia"
"cyprus","northern africa and western asia","asia","western asia"
"georgia","northern africa and western asia","asia","western asia"
"iraq","northern africa and western asia","asia","western asia"
"israel","northern africa and western asia","asia","western asia"
"jordan","northern africa and western asia","asia","western asia"
"kuwait","northern africa and western asia","asia","western asia"
"lebanon","northern africa and western asia","asia","western asia"
"oman","northern africa and western asia","asia","western asia"
"qatar","northern africa and western asia","asia","western asia"
"saudi arabia","northern africa and western asia","asia","western asia"
"state of palestine","northern africa and western asia","asia","western asia"
"syrian arab republic","northern africa and western asia","asia","western asia"
"turkey","northern africa and western asia","asia","western asia"
