,old,new
1,Afghanistan,afghanistan
2,Africa,africa
3,Albania,albania
4,Algeria,algeria
5,American Samoa,american samoa
6,Andorra,andorra
7,Angola,angola
8,Anguilla,anguilla
9,Antigua and Barbuda,antigua and barbuda
10,Argentina,argentina
11,Armenia,armenia
12,Aruba,aruba
13,Asia,asia
14,Australia,australia
15,Australia/New Zealand,australia_new zealand
16,Austria,austria
17,Azerbaijan,azerbaijan
18,Bahamas,bahamas
19,Bahrain,bahrain
20,Bangladesh,bangladesh
21,Barbados,barbados
22,Belarus,belarus
23,Belgium,belgium
24,Belize,belize
25,Benin,benin
26,Bermuda,bermuda
27,Bhutan,bhutan
28,Bolivia (Plurinational State of),bolivia (plurinational state of)
29,"Bonaire, Sint Eustatius and Saba","bonaire, sint eustatius and saba"
30,Bosnia and Herzegovina,bosnia and herzegovina
31,Botswana,botswana
32,Brazil,brazil
33,British Virgin Islands,british virgin islands
34,Brunei Darussalam,brunei darussalam
35,Bulgaria,bulgaria
36,Burkina Faso,burkina faso
37,Burundi,burundi
38,Cabo Verde,cabo verde
39,Cambodia,cambodia
40,Cameroon,cameroon
41,Canada,canada
42,Caribbean,caribbean
43,Cayman Islands,cayman islands
44,Central African Republic,central african republic
45,Central America,central america
46,Central and Southern Asia,central and southern asia
47,Central Asia,central asia
48,Chad,chad
49,Channel Islands,channel islands
50,Chile,chile
51,China,china
52,"China, Hong Kong SAR","china, hong kong sar"
53,"China, Macao SAR","china, macao sar"
54,"China, Taiwan Province of China","china, taiwan province of china"
55,Colombia,colombia
56,Comoros,comoros
57,Congo,congo
58,Cook Islands,cook islands
59,Costa Rica,costa rica
60,Côte d'Ivoire,côte d'ivoire
61,Croatia,croatia
62,Cuba,cuba
63,Curaçao,curaçao
64,Cyprus,cyprus
65,Czechia,czechia
66,Dem. People's Republic of Korea,dem people's republic of korea
67,Democratic Republic of the Congo,democratic republic of the congo
68,Denmark,denmark
69,Djibouti,djibouti
70,Dominica,dominica
71,Dominican Republic,dominican republic
72,Eastern Africa,eastern africa
73,Eastern and South-Eastern Asia,eastern and south-eastern asia
74,Eastern Asia,eastern asia
75,Eastern Europe,eastern europe
76,Ecuador,ecuador
77,Egypt,egypt
78,El Salvador,el salvador
79,Equatorial Guinea,equatorial guinea
80,Eritrea,eritrea
81,Estonia,estonia
82,Eswatini,eswatini
83,Ethiopia,ethiopia
84,Europe,europe
85,Europe and Northern America,europe and northern america
86,Falkland Islands (Malvinas),falkland islands (malvinas)
87,Faroe Islands,faroe islands
88,Fiji,fiji
89,Finland,finland
90,France,france
91,French Guiana,french guiana
92,French Polynesia,french polynesia
93,Gabon,gabon
94,Gambia,gambia
95,Geographic regions,geographic regions
